Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/07/2023 00:00,CAPITL,61757,53.23,1.15,-31.82
02/07/2023 00:00,CENTRL,61754,24.09,-0.10,-3.93
02/07/2023 00:00,DUNWOD,61760,42.95,1.50,-21.18
02/07/2023 00:00,GENESE,61753,22.17,-0.63,-2.53
02/07/2023 00:00,H Q,61844,20.00,-0.26,0.00
02/07/2023 00:00,HUD VL,61758,42.76,1.30,-21.20
02/07/2023 00:00,LONGIL,61762,50.09,2.03,-27.80
02/07/2023 00:00,MHK VL,61756,25.28,0.75,-4.26
02/07/2023 00:00,MILLWD,61759,43.10,1.46,-21.38
02/07/2023 00:00,N.Y.C.,61761,43.09,1.62,-21.20
02/07/2023 00:00,NORTH,61755,20.53,0.26,0.00
02/07/2023 00:00,NPX,61845,51.10,0.99,-29.84
02/07/2023 00:00,O H,61846,20.37,-1.52,-1.63
02/07/2023 00:00,PJM,61847,28.47,-0.12,-8.33
02/07/2023 00:00,WEST,61752,20.68,-1.30,-1.71
02/07/2023 01:00,CAPITL,61757,52.26,1.15,-30.88
02/07/2023 01:00,CENTRL,61754,23.94,-0.14,-3.85
02/07/2023 01:00,DUNWOD,61760,42.26,1.48,-20.56
02/07/2023 01:00,GENESE,61753,22.03,-0.65,-2.46
02/07/2023 01:00,H Q,61844,20.00,-0.22,0.00
02/07/2023 01:00,HUD VL,61758,42.07,1.27,-20.58
02/07/2023 01:00,LONGIL,61762,47.64,1.98,-25.44
02/07/2023 01:00,MHK VL,61756,25.09,0.73,-4.14
02/07/2023 01:00,MILLWD,61759,42.41,1.44,-20.75
02/07/2023 01:00,N.Y.C.,61761,42.36,1.56,-20.58
02/07/2023 01:00,NORTH,61755,20.48,0.26,0.00
02/07/2023 01:00,NPX,61845,50.20,1.01,-28.97
02/07/2023 01:00,O H,61846,20.18,-1.50,-1.45
02/07/2023 01:00,PJM,61847,27.95,-0.14,-7.87
02/07/2023 01:00,WEST,61752,20.41,-1.34,-1.52
02/07/2023 02:00,CAPITL,61757,51.90,1.17,-30.52
