,LBMP ($/MWHr),Marginal Cost Congestion ($/MWHr),Marginal Cost Losses ($/MWHr),Name,PTID,Time Stamp,,,Sum of LBMP ($/MWHr),Column Labels,,,,,,,,,,,,,,,,,,,,,,,
0,85.36,-52.52,2.03,CAPITL,61757,02/01/2023 00:00,,,Row Labels,CAPITL,CENTRL,DUNWOD,GENESE,H Q,HUD VL,LONGIL,MHK VL,MILLWD,N.Y.C.,NORTH,NPX,O H,PJM,WEST,,,,,,,,,
1,32.2,-1.37,0.03,CENTRL,61754,02/01/2023 00:00,,,02/01/2023,85.36,32.2,70.5,31.34,30.34,69.87,71.04,37.84,70.71,70.6,31.14,78.97,30.59,35.13,31.34,,,,,,,,,
2,70.5,-37.64,2.06,DUNWOD,61760,02/01/2023 00:00,,,02/01/2023 01:00,71.73,31.78,60.71,31.09,30.34,60.22,61.26,36.3,60.85,60.8,31.02,75.2,30.3,33.34,30.98,,,,,,,,,
3,31.34,-0.97,-0.43,GENESE,61753,02/01/2023 00:00,,,02/01/2023 02:00,69.74,31.7,59.32,30.9,30.34,58.82,60,36.09,59.46,59.41,31.14,73.23,30.19,32.5,30.91,,,,,,,,,
4,30.34,0,-0.46,H Q,61844,02/01/2023 00:00,,,02/01/2023 03:00,63.49,31.71,54.84,31.05,30.46,54.39,59.15,35.53,54.97,54.89,31.23,73.5,30.23,32.71,30.93,,,,,,,,,
5,69.87,-37.19,1.88,HUD VL,61758,02/01/2023 00:00,,,02/01/2023 04:00,64,34.26,56.04,33.27,33.39,55.63,60.27,38.12,56.13,56.13,34,77.49,32.25,33.76,32.98,,,,,,,,,
6,71.04,-37.68,2.56,LONGIL,61762,02/01/2023 00:00,,,02/01/2023 05:00,68.31,45.66,62.59,44.18,46.32,62.25,64,50,62.63,62.61,47.62,83.7,42.48,38.1,43.31,,,,,,,,,
7,37.84,-5.81,1.23,MHK VL,61756,02/01/2023 00:00,,,02/01/2023 06:00,110.45,76.72,102.78,73.68,79.26,102.16,105.46,84.5,102.74,102.8,81.22,105.72,69.28,50.5,70.9,,,,,,,,,
8,70.71,-37.87,2.03,MILLWD,61759,02/01/2023 00:00,,,02/01/2023 07:00,126.02,113.94,125.66,108.63,117.73,124.94,144.27,121.92,125.55,126.02,119.59,124.31,102.04,60.49,106.49,,,,,,,,,
9,70.6,-37.68,2.12,N.Y.C.,61761,02/01/2023 00:00,,,02/01/2023 08:00,116.75,93.06,107.51,88.33,96.7,106.9,132.6,101.08,107.45,107.9,98.62,108.94,82.9,55.79,86.55,,,,,,,,,
10,31.14,0,0.34,NORTH,61755,02/01/2023 00:00,,,02/01/2023 09:00,100,73.04,87,68.86,74.15,86.42,88.78,78.8,86.82,92.62,75.93,89.45,62.97,47.7,65.2,,,,,,,,,
11,78.97,-46.29,1.88,NPX,61845,02/01/2023 00:00,,,02/01/2023 10:00,96.19,41.2,78.14,39.61,40.42,77.52,120.59,47.2,78.28,85.07,40.83,85.15,37.75,46.35,38.44,,,,,,,,,
12,30.59,-1.15,-1.35,O H,61846,02/01/2023 00:00,,,02/01/2023 11:00,89.27,37.4,75.43,35.89,36.17,74.65,104.64,42.51,75.56,79.39,36.21,81.81,34.29,45.32,35.01,,,,,,,,,
13,35.13,-4.14,0.19,PJM,61847,02/01/2023 00:00,,,02/01/2023 12:00,86.37,36.85,73.33,35.37,35.49,72.53,89.62,41.64,73.41,78.72,35.35,79.35,33.8,44,34.58,,,,,,,,,
14,31.34,-1.24,-0.71,WEST,61752,02/01/2023 00:00,,,02/01/2023 13:00,80.56,33.32,67.99,32.13,32,67.29,89.28,37.78,68.08,68.21,31.77,78.76,30.75,44,31.33,,,,,,,,,
15,71.73,-38.9,2.03,CAPITL,61757,02/01/2023 01:00,,,02/01/2023 14:00,86.41,32.81,71.91,31.25,31.56,71.17,110.04,37.79,72.03,72.1,31.46,83.31,29.85,44.7,30.78,,,,,,,,,
16,31.78,-1.01,-0.03,CENTRL,61754,02/01/2023 01:00,,,02/01/2023 15:00,103,34.13,75.5,32.42,32.72,75.05,109.4,40.61,75.67,75.73,32.62,94.09,30.94,45.03,32.17,,,,,,,,,
17,60.71,-27.88,2.03,DUNWOD,61760,02/01/2023 01:00,,,02/01/2023 16:00,134.39,42.62,78.36,40.93,42.13,78.82,127.95,52.62,78.35,78.65,41.96,105.27,38.71,50.7,40.33,,,,,,,,,
18,31.09,-0.72,-0.43,GENESE,61753,02/01/2023 01:00,,,02/01/2023 17:00,168.92,66.67,107.56,64.92,66.34,108,181.56,78.96,107.76,108,66.74,134.97,61.36,66.9,63.04,,,,,,,,,
19,30.34,0,-0.46,H Q,61844,02/01/2023 01:00,,,02/01/2023 18:00,139.11,60.81,92.35,59.35,59.9,92.59,158.87,70.24,92.49,92.74,60.02,129.71,56.18,57.9,57.77,,,,,,,,,
20,60.22,-27.54,1.88,HUD VL,61758,02/01/2023 01:00,,,02/01/2023 19:00,146.9,47.2,86.03,46.2,46.77,86.65,134.53,58.16,86.29,86.3,46.53,115.81,43.63,54.4,44.73,,,,,,,,,
21,61.26,-27.91,2.56,LONGIL,61762,02/01/2023 01:00,,,02/01/2023 20:00,135,39.3,75.91,38.59,38.43,76.62,128.72,49.39,76.08,76.13,38.24,109.38,36.71,50.94,37.57,,,,,,,,,
22,36.3,-4.3,1.2,MHK VL,61756,02/01/2023 01:00,,,02/01/2023 21:00,110.79,34.53,71.54,33.69,33.17,71.64,130.83,42.3,71.75,71.81,33,98.29,32.23,48.92,32.95,,,,,,,,,
23,60.85,-28.05,2,MILLWD,61759,02/01/2023 01:00,,,02/01/2023 22:00,96.36,32.24,64.1,31.61,31.02,64.09,107.34,39.03,64.24,64.38,31.05,90.87,30.44,44.9,31.05,,,,,,,,,
24,60.8,-27.9,2.1,N.Y.C.,61761,02/01/2023 01:00,,,02/01/2023 23:00,87.45,32.21,72.12,31.34,30.2,71.38,88.52,37.91,72.28,72.38,30.2,92,30.6,42.9,31.22,,,,,,,,,
25,31.02,0,0.22,NORTH,61755,02/01/2023 01:00,,,02/02/2023,84.43,25.8,67.89,25.09,24.08,67.19,77.72,31.47,68.12,68.1,24.08,86.07,24.57,45.01,25,,,,,,,,,
26,75.2,-42.52,1.88,NPX,61845,02/01/2023 01:00,,,02/02/2023 01:00,79.94,23.88,64.04,23.18,22.24,63.37,77.68,29.34,64.26,64.19,22.28,85.5,22.6,42.18,23,,,,,,,,,
27,30.3,-0.85,-1.35,O H,61846,02/01/2023 01:00,,,02/02/2023 02:00,71.99,24.87,58.69,24.18,23.48,58.11,74.66,29.63,58.84,58.83,23.58,81,23.48,40.12,23.88,,,,,,,,,
28,33.34,-2.35,0.19,PJM,61847,02/01/2023 01:00,,,02/02/2023 03:00,71.36,24.84,58.33,24.15,23.47,57.72,76.92,29.52,58.48,58.43,23.56,81.11,23.45,39.93,23.85,,,,,,,,,
29,30.98,-0.92,-0.74,WEST,61752,02/01/2023 01:00,,,02/02/2023 04:00,72,24.84,58.71,24.17,23.45,58.13,81.44,29.62,58.86,58.86,23.57,88,23.45,40.12,23.85,,,,,,,,,
30,69.74,-36.97,2,CAPITL,61757,02/01/2023 02:00,,,02/02/2023 05:00,76.56,28.52,63.02,27.85,26.84,62.38,91.13,33.45,63.16,63.21,26.95,93,27.06,44,27.5,,,,,,,,,
31,31.7,-0.96,-0.03,CENTRL,61754,02/01/2023 02:00,,,02/02/2023 06:00,90.94,34.03,75.14,33.08,32,74.36,122.08,40.07,75.35,75.34,32.26,115.47,31.86,52.45,32.49,,,,,,,,,
32,59.32,-26.49,2.06,DUNWOD,61760,02/01/2023 02:00,,,02/02/2023 07:00,102.05,51.15,88.64,49.56,49.77,87.77,148.14,57.81,88.92,88.92,50.22,127.49,47.1,67,48.6,,,,,,,,,
33,30.9,-0.69,-0.55,GENESE,61753,02/01/2023 02:00,,,02/02/2023 08:00,98.95,47.01,75.09,45.33,46.54,74.82,107.87,54,75.29,75.44,46.82,115,42.81,57.96,44.35,,,,,,,,,
34,30.34,0,-0.43,H Q,61844,02/01/2023 02:00,,,02/02/2023 09:00,96.33,31.95,77.48,30.73,29.38,77.11,86.85,38.28,77.85,77.68,29.35,102,29.67,52.38,30.65,,,,,,,,,Use the filters to get the specific names and time stamps you are looking for
35,58.82,-26.18,1.88,HUD VL,61758,02/01/2023 02:00,,,02/02/2023 10:00,115.75,28.8,81.08,27.59,26.84,81.02,90.66,37.25,81.45,81.26,26.76,94.42,26.52,50,27.14,,,Row Labels,Average of LBMP ($/MWHr),,,,,
